TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,39
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.helper.DataUtil,BRANCH,0.5,96,48
org.jsoup.helper.HttpConnection,BRANCH,0.2774390243902439,328,113
org.jsoup.helper.StringUtil,BRANCH,0.967741935483871,93,89
org.jsoup.helper.Validate,BRANCH,1.0,26,26
org.jsoup.helper.W3CDom,BRANCH,0.9375,32,30
org.jsoup.HttpStatusException,BRANCH,1.0,4,4
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.95,40,36
org.jsoup.internal.Normalizer,BRANCH,1.0,4,4
org.jsoup.Jsoup,BRANCH,1.0,15,15
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.Attributes,BRANCH,0.8350515463917526,97,81
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0,2,2
org.jsoup.nodes.CDataNode,BRANCH,1.0,5,5
org.jsoup.nodes.Comment,BRANCH,1.0,8,8
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.Document,BRANCH,0.8470588235294118,85,72
org.jsoup.nodes.DocumentType,BRANCH,1.0,26,26
org.jsoup.nodes.Element,BRANCH,0.9283387622149837,307,284
org.jsoup.nodes.Entities,BRANCH,0.7640449438202247,89,68
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.FormElement,BRANCH,0.46875,32,15
org.jsoup.nodes.LeafNode,BRANCH,1.0,25,25
org.jsoup.nodes.Node,BRANCH,0.923728813559322,118,109
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.TextNode,BRANCH,0.9777777777777777,45,44
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,15,15
org.jsoup.parser.CharacterReader,BRANCH,0.9485981308411215,214,203
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.4641638225255973,879,408
org.jsoup.parser.ParseError,BRANCH,1.0,5,5
org.jsoup.parser.ParseErrorList,BRANCH,1.0,6,6
org.jsoup.parser.Parser,BRANCH,1.0,25,25
org.jsoup.parser.ParseSettings,BRANCH,1.0,7,5
org.jsoup.parser.Tag,BRANCH,0.8676470588235294,68,59
org.jsoup.parser.Token,BRANCH,1.0,89,89
org.jsoup.parser.Tokeniser,BRANCH,0.638095238095238,105,67
org.jsoup.parser.TokeniserState,BRANCH,0.5180722891566265,830,423
org.jsoup.parser.TokenQueue,BRANCH,0.9716312056737588,141,134
org.jsoup.parser.TreeBuilder,BRANCH,0.7692307692307693,13,10
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.8478260869565217,46,39
org.jsoup.safety.Cleaner,BRANCH,0.8787878787878788,33,29
org.jsoup.safety.Whitelist,BRANCH,0.9090909090909091,165,150
org.jsoup.select.Collector,BRANCH,1.0,14,14
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.Elements,BRANCH,0.9916666666666667,120,119
org.jsoup.select.Evaluator,BRANCH,0.9746192893401016,197,192
org.jsoup.select.NodeTraversor,BRANCH,1.0,48,48
org.jsoup.select.QueryParser,BRANCH,0.8954248366013072,153,137
org.jsoup.select.Selector,BRANCH,1.0,18,18
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,48,48
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.UncheckedIOException,BRANCH,1.0,2,2
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
